row_id,organisasi_id,kode_skpd,nama_skpd,tipe_organisasi,kode_urusan,nama_urusan,kategori_urusan,kode_rekening,kode_akun,kode_kelompok,kode_jenis,kode_objek,kode_rincian,kode_sub_rincian,level,nama_level,klasifikasi_akun,kategori_belanja,uraian,indikator,jumlah_rp,halaman_sumber,lampiran,tahun_anggaran,sumber_data
43,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.10,4,4.1,4.1.01,4.1.01.02,4.1.01.02.10,,5,Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Sepeda Motor-Sepeda Motor Roda Dua,,156027405780.0,27,II,2025,RINCIAN_APBD
44,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.10.0001,4,4.1,4.1.01,4.1.01.02,4.1.01.02.10,4.1.01.02.10.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Sepeda Motor-Sepeda Motor Roda Dua,,156027405780.0,27,II,2025,RINCIAN_APBD
45,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.11,4,4.1,4.1.01,4.1.01.02,4.1.01.02.11,,5,Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Sepeda Motor-Sepeda Motor Roda Tiga,,252390702.0,27,II,2025,RINCIAN_APBD
46,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.11.0001,4,4.1,4.1.01,4.1.01.02,4.1.01.02.11,4.1.01.02.11.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Sepeda Motor-Sepeda Motor Roda Tiga,,252390702.0,27,II,2025,RINCIAN_APBD
47,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.13,4,4.1,4.1.01,4.1.01.02,4.1.01.02.13,,5,Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Kendaraan Khusus Alat Berat,,6245170065.0,27,II,2025,RINCIAN_APBD
48,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.13.0001,4,4.1,4.1.01,4.1.01.02,4.1.01.02.13,4.1.01.02.13.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Kendaraan Khusus Alat Berat,,6245170065.0,27,II,2025,RINCIAN_APBD
49,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.03,4,4.1,4.1.01,4.1.01.03,,,4,Objek,PENDAPATAN,Pendapatan,Pajak Bahan Bakar Kendaraan Bermotor (PBBKB),,490000000000.0,27,II,2025,RINCIAN_APBD
50,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.03.01,4,4.1,4.1.01,4.1.01.03,4.1.01.03.01,,5,Rincian Objek,PENDAPATAN,Pendapatan,PBBKB-Bahan Bakar Bensin,,302686641816.0,27,II,2025,RINCIAN_APBD
51,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.03.01.0001,4,4.1,4.1.01,4.1.01.03,4.1.01.03.01,4.1.01.03.01.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,PBBKB Bahan Bakar Bensin,,302686641816.0,27,II,2025,RINCIAN_APBD
52,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.03.02,4,4.1,4.1.01,4.1.01.03,4.1.01.03.02,,5,Rincian Objek,PENDAPATAN,Pendapatan,PBBKB-Bahan Bakar Solar,,187313358184.0,27,II,2025,RINCIAN_APBD
53,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.03.02.0001,4,4.1,4.1.01,4.1.01.03,4.1.01.03.02,4.1.01.03.02.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,PBBKB Bahan Bakar Solar,,187313358184.0,27,II,2025,RINCIAN_APBD
54,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.04,4,4.1,4.1.01,4.1.01.04,,,4,Objek,PENDAPATAN,Pendapatan,Pajak Air Permukaan,,2893557622.0,27,II,2025,RINCIAN_APBD
55,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.04.01,4,4.1,4.1.01,4.1.01.04,4.1.01.04.01,,5,Rincian Objek,PENDAPATAN,Pendapatan,Pajak Air Permukaan,,2893557622.0,27,II,2025,RINCIAN_APBD
56,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.04.01.0001,4,4.1,4.1.01,4.1.01.04,4.1.01.04.01,4.1.01.04.01.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,Pajak Air Permukaan,,2893557622.0,27,II,2025,RINCIAN_APBD
57,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.05,4,4.1,4.1.01,4.1.01.05,,,4,Objek,PENDAPATAN,Pendapatan,Pajak Rokok,,447153674470.0,27,II,2025,RINCIAN_APBD
58,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.05.01,4,4.1,4.1.01,4.1.01.05,4.1.01.05.01,,5,Rincian Objek,PENDAPATAN,Pendapatan,Pajak Rokok,,447153674470.0,27,II,2025,RINCIAN_APBD
59,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.05.01.0001,4,4.1,4.1.01,4.1.01.05,4.1.01.05.01,4.1.01.05.01.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,Pajak Rokok,,447153674470.0,27,II,2025,RINCIAN_APBD
60,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.17,4,4.1,4.1.01,4.1.01.17,,,4,Objek,PENDAPATAN,Pendapatan,Pajak Alat Berat,,553674000.0,27,II,2025,RINCIAN_APBD
61,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.17.01,4,4.1,4.1.01,4.1.01.17,4.1.01.17.01,,5,Rincian Objek,PENDAPATAN,Pendapatan,Pajak Alat Berat,,553674000.0,27,II,2025,RINCIAN_APBD
62,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.17.01.0001,4,4.1,4.1.01,4.1.01.17,4.1.01.17.01,4.1.01.17.01.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,Pajak Alat Berat,,553674000.0,27,II,2025,RINCIAN_APBD
63,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.18,4,4.1,4.1.01,4.1.01.18,,,4,Objek,PENDAPATAN,Pendapatan,Opsen Pajak Mineral Bukan Logam dan Batuan (MBLB),,10043448000.0,27,II,2025,RINCIAN_APBD
64,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.18.01,4,4.1,4.1.01,4.1.01.18,4.1.01.18.01,,5,Rincian Objek,PENDAPATAN,Pendapatan,Opsen Pajak Mineral Bukan Logam dan Batuan (MBLB),,10043448000.0,27,II,2025,RINCIAN_APBD
65,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.18.01.0001,4,4.1,4.1.01,4.1.01.18,4.1.01.18.01,4.1.01.18.01.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,Opsen Pajak Mineral Bukan Logam dan Batuan (MBLB),,10043448000.0,27,II,2025,RINCIAN_APBD
66,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.02,4,4.1,4.1.02,,,,3,Jenis,PENDAPATAN,Pendapatan,Retribusi Daerah,,700477633788.0,27,II,2025,RINCIAN_APBD
67,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.02.01,4,4.1,4.1.02,4.1.02.01,,,4,Objek,PENDAPATAN,Pendapatan,Retribusi Jasa Umum,,676422663152.0,27,II,2025,RINCIAN_APBD
68,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.02.01.01,4,4.1,4.1.02,4.1.02.01,4.1.02.01.01,,5,Rincian Objek,PENDAPATAN,Pendapatan,Retribusi Pelayanan Kesehatan,,676422663152.0,27,II,2025,RINCIAN_APBD
69,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.02.01.01.0006,4,4.1,4.1.02,4.1.02.01,4.1.02.01.01,4.1.02.01.01.0006,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,Retribusi Pelayanan Kesehatan di Tempat Pelayanan Kesehatan Lainnya yang Sejenis,,676422663152.0,27,II,2025,RINCIAN_APBD
70,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.02.02,4,4.1,4.1.02,4.1.02.02,,,4,Objek,PENDAPATAN,Pendapatan,Retribusi Jasa Usaha,,23854970636.0,27,II,2025,RINCIAN_APBD
71,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.02.02.05,4,4.1,4.1.02,4.1.02.02,4.1.02.02.05,,5,Rincian Objek,PENDAPATAN,Pendapatan,Retribusi Tempat Khusus Parkir,,42000000.0,28,II,2025,RINCIAN_APBD
72,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.02.02.05.0001,4,4.1,4.1.02,4.1.02.02,4.1.02.02.05,4.1.02.02.05.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,Retribusi Pelayanan Tempat Khusus Parkir,,42000000.0,28,II,2025,RINCIAN_APBD
73,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.02.02.06,4,4.1,4.1.02,4.1.02.02,4.1.02.02.06,,5,Rincian Objek,PENDAPATAN,Pendapatan,Retribusi Tempat Penginapan/ Pesanggrahan/Vila,,1475500000.0,28,II,2025,RINCIAN_APBD
74,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.02.02.06.0001,4,4.1,4.1.02,4.1.02.02,4.1.02.02.06,4.1.02.02.06.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,Retribusi Pelayanan Tempat Penginapan/ Pesanggrahan/Vila,,1475500000.0,28,II,2025,RINCIAN_APBD
75,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.02.02.08,4,4.1,4.1.02,4.1.02.02,4.1.02.02.08,,5,Rincian Objek,PENDAPATAN,Pendapatan,Retribusi Pelayanan Kepelabuhanan,,2500000000.0,28,II,2025,RINCIAN_APBD
76,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.02.02.08.0001,4,4.1,4.1.02,4.1.02.02,4.1.02.02.08,4.1.02.02.08.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,Retribusi Pelayanan Kepelabuhanan,,2500000000.0,28,II,2025,RINCIAN_APBD
77,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.02.02.13.0001,4,4.1,4.1.02,4.1.02.02,4.1.02.02.13,4.1.02.02.13.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,Retribusi Penyediaan Tempat Pelelangan,,300000000.0,28,II,2025,RINCIAN_APBD
78,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.02.02.14,4,4.1,4.1.02,4.1.02.02,4.1.02.02.14,,5,Rincian Objek,PENDAPATAN,Pendapatan,Retribusi Penyediaan Tempat Khusus Parkir Diluar Badan Jalan,,1632350000.0,28,II,2025,RINCIAN_APBD
